,acne covered person,acne ridden person,attractive person,bald person,bearded person,beautiful person,black haired person,blonde person,brown haired person,brown skinned person,brunette person,clean shaven person,curly haired person,cute person,dark skinned person,disfigured person,dreadlocked person,fat person,fit person,gray haired person,handsome person,hunchback person,large person,light skinned person,long haired person,muscular person,obese person,pale skinned person,pierced person,redheaded person,short haired person,short person,spiky haired person,tall person,tattooed person,thin person,ugly person,unattractive person,underweight person,white person
handsome person,0.8069487873814827,1.0,0.006855569065959197,4.0391120051985266e-05,0.11319272718932714,0.7156081924756947,0.04969709313985904,0.7156081924756947,0.08617718451581652,0.8069487873814827,0.04969709313985904,0.00021033962297627498,0.06706991440022417,0.11319272718932714,0.01402280588082426,1.0730882786523704e-06,0.0005749561777863933,5.811993558811917e-11,5.129415773550928e-08,2.2258928961106172e-17,,0.0020188275004483754,0.027137661269483755,0.463238587596866,0.8069487873814827,0.11319272718932714,0.0013906984969033098,0.0020188275004483754,0.019822873625441134,4.771458358644586e-07,0.22099521028128122,0.08617718451581652,4.0391120051985266e-05,0.0020188275004483754,2.27357818850848e-19,0.037548851504678085,6.620558103893471e-06,0.27431733305883493,0.18088337144452013,0.6249565420745506
hunchback person,0.27356747875217313,0.013626193354455973,6.286110295803661e-06,2.1917367814268443e-05,1.0,0.017319773261793955,0.010089701927231194,0.06750811990574394,0.022535922683860482,0.14396731672557772,0.20127614798193177,0.00017456569119035274,0.08340774602388495,0.17157240809786795,0.0024740384427830876,6.040044848402518e-07,3.1114054792204037e-12,9.267295064262505e-32,1.2670057072613945e-15,2.2541772968796923e-10,0.05392758537927972,,0.0024740384427830876,0.007973919938394533,1.0,0.028095339347215663,9.175521177748208e-07,0.010357776322969615,0.003384995268280208,0.004515244949876136,2.2212523518291999e-07,0.0012957181681639385,5.034851607318761e-05,0.001851618530071067,3.3710131420590946e-14,0.001851618530071067,3.1114054792204037e-12,0.7154637695766412,0.4119992124482388,0.4657606344553238
large person,0.02152587583985812,0.05035916206591599,5.319416820788623e-08,6.211070104261083e-07,0.056797348206929076,0.041520526892953866,0.0006319478745011529,0.001607962728479709,0.7989123105808944,0.05035916206591599,0.05035916206591599,0.008386337006979022,0.2357167802268883,0.003751590117087776,0.002852459002182883,9.778895441371176e-08,1.2441943646644266e-05,1.2674628383777192e-20,5.6683599171954886e-12,2.2037885146649804e-13,0.022742876006446207,3.4959049717169014e-08,,0.008271567016339305,0.001607962728479709,0.010669582100961496,0.4982636714459061,1.2441943646644266e-05,0.00641710980833355,0.008271567016339305,0.001607962728479709,5.360813524662445e-05,8.082906397286558e-06,9.778895441371176e-08,1.0502277464689302e-30,0.0011762516555178367,5.040818825390451e-14,0.12701177944752962,0.0003282275445285534,0.12701177944752962
light skinned person,0.279219928806165,0.11351880073030007,6.303227879180203e-08,6.303227879180203e-08,0.9076094068888665,0.01975854942324646,0.012033326815238736,0.0001640915358060504,0.11351880073030007,0.35995928430389407,0.1568852487014437,9.086620345417043e-05,0.6187788825540994,0.030523170607245107,0.0058594185183547635,4.269166364885316e-08,1.6257658907526174e-11,1.615681995852263e-22,5.237044817266748e-16,2.7902706951388364e-21,1.8600375806210327e-05,5.5825891220969154e-11,0.1568852487014437,,0.015540736907019095,0.00765133794088122,0.003457205425249641,4.1653309354839087e-07,0.004573591588204336,3.851071030512217e-06,0.0058594185183547635,0.004395097995500722,7.012397657181323e-07,2.7049319691366937e-05,3.386765214128172e-32,0.0026601855479306082,3.2144656323273035e-13,0.0015050171986777572,0.0026601855479306082,0.8029236496030931
long haired person,0.40625815929586695,0.18367570296436367,1.009604913015528e-13,0.000840806716018442,0.16159877592959832,0.11511282500129832,3.7404171106809504e-06,0.0004517828604257381,0.9340218455606407,0.13463590450133905,0.0045973522199447715,0.004796106849862324,0.24479401377189913,0.015937307408455316,0.007674119908267731,3.496191511274167e-11,3.5223853136737e-09,1.2788918941016886e-32,1.217712910206154e-17,9.965400200512879e-23,0.0002647620875704757,1.924405993781267e-05,0.5064900987807264,0.9340218455606407,,1.6663981769202297e-06,0.00023607592608165253,8.778995647207566e-06,0.006032679591887172,0.0004517828604257381,0.0001199358089856043,0.0019633044251366055,2.772296521932349e-08,5.4154706372525435e-16,5.406703783948316e-42,0.05628165011321909,1.0967582166077004e-14,0.11511282500129832,0.08148448367843986,0.803850524969262
muscular person,0.003958989176742654,0.06315998760235281,3.054074669170856e-11,4.4324658357450025e-07,0.5535140681383612,0.014241318078898009,0.005022626062877545,0.006723982574149474,0.6132530616968881,0.011108253878404212,0.0001341887388964537,3.208251327962334e-08,0.8662325289527754,1.0,0.0913422450989084,2.057706353571444e-05,1.0623737540244021e-10,6.923145054914593e-33,1.022741432096866e-18,4.479401278547741e-21,0.017391392827367284,2.407115020969075e-08,0.003958989176742654,0.1287951406901389,0.0005188937472322121,,3.067685159818804e-05,0.0006825991813376994,0.0001833560973409732,0.0178558111765333,0.0178558111765333,0.02191503175957984,0.0002679340345961994,1.7299564871325512e-07,6.212102696292712e-20,0.0009692673039649233,2.88904691402963e-17,0.4476501728587332,0.0017501286220595403,0.23781310572865055
obese person,0.012608417124450915,0.1025931261108933,2.7652341297881103e-07,6.8616032429202e-05,0.1186345874999103,0.059066847800080396,0.015804372551481156,3.2373628866923965e-05,0.6678889021922441,1.0,0.031591740884679344,3.0488116086078084e-05,0.08634625252125552,0.00020895157819971776,0.1025931261108933,2.1999573197904394e-05,2.2847138669762772e-08,5.844993001506185e-19,1.6527433852269994e-09,1.662415025729466e-17,0.09064493917957905,6.952196294764053e-12,3.9309393080602234e-08,0.1025931261108933,0.548022838448657,0.0010376374863181712,,4.185250147730071e-06,0.016055748901857413,0.2643537853140122,0.0005497368116415804,0.009710395478671823,2.5787651856559668e-09,1.7426870582667524e-06,9.544247163179256e-30,0.0033857866475392093,9.288533465444138e-14,0.931624763492117,0.08634625252125552,0.6079462904403403
pale skinned person,0.019538287831226686,0.10129390076891347,2.3998216867165577e-07,0.0005308996936465826,0.05228998543745604,0.08384171412326617,0.00911363835408498,0.0470080687770771,0.10129390076891347,0.0470080687770771,0.0023942426038649437,6.530009907960254e-08,0.03793233659923964,0.08384171412326617,2.89214701417778e-05,3.7839757442416024e-10,3.3310969097355404e-13,6.668321369218628e-36,2.7621752682328384e-17,2.236986394623624e-12,0.001490352928415777,1.1944355166116597e-10,0.0002691154202632802,0.0042273077099712255,0.0470080687770771,0.009429813038703596,1.2903269601086029e-05,,0.8629434371685036,0.0002691154202632802,0.019538287831226686,8.498966158570063e-05,0.0001321120615449299,4.274689423302884e-05,1.7933684969072405e-15,0.003251976025778692,1.3055686248171848e-13,0.7298876819398734,0.16684909776525694,0.14285180719843454
pierced person,0.35315050754862715,0.2367937558840682,1.8200692067661209e-10,1.6530665212025994e-06,0.635849570182744,0.011125958104004626,0.0009037996967186609,1.6530665212025994e-06,0.008575647262549353,0.15090262914534092,0.034329172725551284,0.00019153214326605747,0.6731700366097125,0.1281267293812326,0.001671887095101784,5.985147208877884e-14,5.906957162375006e-17,4.5392281209844515e-34,1.5202108387388022e-13,9.461307264957884e-21,0.0019105949348043193,4.693579091863854e-07,0.0029652626651023176,0.10827658369166351,0.20519042899449835,0.2367937558840682,0.001671887095101784,2.8046411074532126e-10,,9.031235723801256e-06,0.001671887095101784,0.00012206091825742288,6.751017423354631e-07,2.6730906846207324e-06,1.1947911125608096e-21,0.011125958104004626,2.0499252830318317e-12,0.35315050754862715,0.0023044413408219904,0.6122956536761027
redheaded person,0.34562297260263897,0.6684041861619608,2.2724239764089955e-08,0.003381761931700739,0.14714018280264296,0.020040372565324552,8.636201313681508e-06,0.22845594769031824,0.19803721009769523,0.0001953446381690094,0.9317445663927055,0.00014288259852300247,1.0,0.0024968341410576667,0.003381761931700739,1.2447181252316193e-08,0.03141468184879172,1.156680349010094e-18,1.1943109701119778e-11,6.108691633049003e-35,1.0,2.587569621408502e-06,0.000385889862280271,1.0,0.389820225647983,0.14441832871560029,2.2724239764089955e-08,0.00014138429331038503,0.00028617888952310594,,0.00973048505093553,0.007444761752533982,0.0001953446381690094,2.587569621408502e-06,4.69157288854607e-38,2.587569621408502e-06,1.2447181252316193e-08,0.6684041861619608,0.04789767573794673,0.020040372565324552
short haired person,1.0,0.03203974528870207,3.3937579921775245e-12,3.408461731443e-05,0.040232952338715676,0.17001361178483287,0.007440497563909416,4.257490941723606e-06,1.0,0.548622159062877,0.005867247082621284,3.006144091491481e-05,0.3915776827643767,0.03920826629372704,0.14501751153733267,4.956559150770278e-09,4.835618987812338e-10,5.267373895058317e-19,1.6373431866871801e-12,5.332507768620558e-22,0.0003970096779549322,1.6373431866871801e-12,0.003402644148111691,0.07176318886743062,0.6683419156164512,0.122512967525645,0.0019182106231610443,0.009835654479212119,0.01603268488501112,3.408461731443e-05,,0.4920800277539772,0.26518117856201795,0.0014549563896043985,2.702537269645931e-34,0.004613060971924185,1.6373431866871801e-12,1.0,0.002629931384152599,0.08604094009571153
short person,0.49243950318892726,0.8637740865409207,4.517222969288707e-09,0.0019601894959382607,0.05513362685831317,0.01258988582562788,0.03131324926682126,0.0034556939384582175,0.2294466578331413,0.8637740865409207,0.16952774293089323,0.0036817590534881347,0.9318317530156095,0.5491679608330327,0.0587528287701082,6.414238618476889e-06,1.3440216612299805e-08,1.0836700137725482e-23,8.501414490135291e-13,7.494290273657755e-23,0.0024751836440043305,1.0843938804117786e-07,0.0587528287701082,0.12216619279481164,0.3030431204509067,0.10317672029850675,9.93189729663565e-05,1.4684489794887571e-05,0.0014107598843597492,9.93189729663565e-05,8.566118578561825e-09,,0.039179457787475086,1.4684489794887571e-05,6.510490669918113e-42,3.257647566962627e-05,1.97731427869269e-13,0.14501935840938912,0.0014107598843597492,0.5491679608330327
