,acne covered person,acne ridden person,attractive person,bald person,bearded person,beautiful person,black haired person,blonde person,brown haired person,brown skinned person,brunette person,clean shaven person,curly haired person,cute person,dark skinned person,disfigured person,dreadlocked person,fat person,fit person,gray haired person,handsome person,hunchback person,large person,light skinned person,long haired person,muscular person,obese person,pale skinned person,pierced person,redheaded person,short haired person,short person,spiky haired person,tall person,tattooed person,thin person,ugly person,unattractive person,underweight person,white person
handsome person,0.09257177222647145,0.24407473572787347,2.189377309874755e-05,0.018893449372329226,0.6978704708028559,0.03717672071459643,0.00902146786343846,0.05242841145851681,1.0,0.5175970307051889,0.6978704708028559,0.0010274062035931235,0.013647382231210606,0.06869495686381376,1.0,1.385299258072591e-05,0.06869495686381376,6.044336434589443e-09,0.02797551334660408,0.24407473572787347,,0.3004447722098309,0.19492454111676233,0.6053621428715377,0.013647382231210606,0.3004447722098309,0.8970475824481768,0.02797551334660408,0.02797551334660408,0.006193189600651553,0.03717672071459643,7.251416055963125e-07,1.6471930104296724e-06,0.24407473572787347,0.018893449372329226,0.19492454111676233,0.013647382231210606,0.1192795549664338,0.09257177222647145,0.03717672071459643
hunchback person,0.004989183436469509,0.0028808711997432308,1.22201150586366e-11,0.10757744511676118,1.0,0.008398910629697196,0.0020848598371210345,0.10757744511676118,0.5541535849922761,0.5541535849922761,0.10757744511676118,0.02349794905034973,0.002191899993378138,0.017325155205460754,0.00034974422300842046,4.1483718845328814e-07,0.00034974422300842046,5.854241111536063e-41,6.027101992679605e-12,8.816382678657664e-05,0.002826309312210237,,0.35233995883765823,1.0,1.0,7.247602244879683e-11,0.7999235323838592,0.00017968239879612846,0.7345188892908149,0.0012216250134534023,7.455713623216725e-09,2.38137834652029e-10,1.22201150586366e-11,0.23494400876227506,3.194525241193485e-12,0.027166244426367066,9.214600834388603e-08,1.0,0.004989183436469509,1.5325848052978204e-06
large person,0.06841941367284113,1.2324747785746162e-09,5.128137653783621e-21,0.06841941367284113,0.0010359825397193577,0.7408354071363943,0.0003280758800721078,0.1854531938030179,0.09770889356330639,0.24671037114740907,0.0027816082210756297,0.007142656157303765,0.00018075121010863456,2.1103130282304697e-05,1.8892048633727724e-06,0.00368554377215933,4.914996492408846e-08,3.6037897097755657e-34,1.2833266799820824e-07,0.020244332475048886,5.588488320544628e-07,0.00018075121010863456,,2.787426954956354e-06,6.3442317717437164e-06,4.914996492408846e-08,0.08230561871621991,1.8892048633727724e-06,0.01627160913735604,0.025341031605222483,1.0355488961457143e-08,6.160417751789765e-10,3.8926633408421626e-11,0.36331056456350175,0.00158405809872937,0.0003492112407817632,3.245426372487799e-07,0.4570674231998408,0.11605595204030958,0.004754047177279952
light skinned person,9.287010716089178e-05,8.117725367012258e-07,3.119786084545469e-14,0.001219886352675798,0.13080466126366508,0.0037430439401134833,0.13604310049327806,4.448057259904446e-06,0.006296938322182574,0.09750438410542317,7.62798444863111e-10,0.10351421841291408,2.8208511206840996e-08,2.8208511206840996e-08,2.75779600240031e-06,0.025610309322300878,0.007874289846225664,3.621771084031698e-36,1.0239751861036631e-08,9.287010716089178e-05,3.4909067085564955e-05,0.00472974097239391,4.849973033951683e-07,,0.002765962433161251,6.279282863935239e-06,0.7406799984944447,6.279282863935239e-06,6.279282863935239e-06,0.007874289846225664,1.3064476311559202e-07,4.769931266470795e-18,6.623758148953673e-12,0.36412362554974353,1.3064476311559202e-07,2.974040509855672e-05,2.8208511206840996e-08,0.21572656029274556,0.5079578267474787,1.3064476311559202e-07
long haired person,1.8435496565704269e-06,4.374078525893674e-05,3.0767127038386114e-22,0.08210290397462003,0.10314009856873071,0.03834268488631978,0.0015332933272162114,0.0036597131286524196,0.056805045886394984,0.002113410360260168,0.0036597131286524196,0.0002753220409246451,6.458250297320722e-06,2.0142472249558025e-07,0.0008852383497004797,6.329182666745209e-05,0.012879864744743043,5.652679924828674e-34,5.022289592490918e-07,0.6793644440327409,1.3597035084020466e-09,0.00795245480154376,2.8426104005480254e-06,0.00616935171708351,,5.022289592490918e-07,0.7409806011368077,0.0008852383497004797,0.004782524097146878,0.004782524097146878,3.1497881955296723e-07,7.47934508286088e-13,1.2019425860333578e-13,0.0015961790090422826,2.0728946691558725e-05,6.458250297320722e-06,3.0462400895168476e-05,0.5084692242437919,1.0,2.0728946691558725e-05
muscular person,2.0408626128075046e-06,0.0009048319884738166,4.718759675085842e-12,0.004239255301150976,0.12160322513961705,0.0017612910775030922,0.016259828799019257,0.46270283658205924,0.08161209692497509,0.0009048319884738166,0.012929954135762273,0.004172652190063769,0.06583345998335476,0.31371146173227926,4.464207653904662e-05,0.1413850260865076,0.06583345998335476,3.291495239910554e-54,0.0006256617707825033,0.007525200662372656,0.3038238456171701,0.097912424638485,0.9270071132311573,0.23386369965129722,0.6469253863502145,,0.0012215374202884006,0.01671496772070926,0.06583345998335476,0.1413850260865076,5.749489296117734e-08,7.2358508591516e-07,0.00021486966378074838,0.1413850260865076,3.160124584598583e-05,0.005768829412346814,7.720889770322996e-07,0.31371146173227926,0.3584887928156536,0.004239255301150976
obese person,4.005825809027549e-06,9.034574344817877e-06,1.122790286143401e-11,8.641836441225013e-05,0.12969376586837333,0.4565713291457062,0.09631977214777683,0.010031508953401855,0.08185170312059466,0.003608884182269301,0.0006343402212592515,0.1028460715637474,0.007734252928079334,2.881827823187585e-05,1.3437527391484139e-05,6.084568142760631e-06,0.00023903258177606737,9.560637547388074e-36,0.0027067963034345145,0.08185170312059466,0.003316244901979619,0.0001215113652025573,0.4565713291457062,0.13503870571115267,0.6187189578768821,0.0015378339813985433,,6.199245531767093e-11,0.007734252928079334,0.5069325064578453,1.2944560749737355e-10,6.249158941395434e-10,8.331018955325494e-13,0.09670789500738852,7.174248306506054e-07,0.00023903258177606737,1.0211746830600822e-08,0.06759892570365827,0.03815169984524273,0.0006343402212592515
pale skinned person,0.0006651263066988794,0.0012599592106586662,4.4084355699393665e-11,0.002313428285181063,0.9029818465150194,0.0001687473251954694,0.0029519866901078513,0.01473687974607062,0.01473687974607062,0.004118067220081324,0.03680373932923046,0.1791466291890098,1.8068829198009492e-09,0.011767444402895401,7.517864151304429e-06,0.06815361153777347,3.2115928157317795e-06,4.868679258860683e-45,2.0990305998520395e-13,0.03680373932923046,0.0009212395543870492,0.005264906573351555,0.3858772532536973,0.6030571374521063,0.6643230025800726,3.0868015312139643e-12,0.055767582206922704,,0.055767582206922704,0.0016761186292878509,5.755608971882196e-10,1.3389884123382302e-08,5.755608971882196e-10,0.029880603377966854,7.898149489283311e-08,0.0004756476002678834,9.028591397588473e-10,0.2590407570409483,0.2979250978054665,8.278273958993615e-07
pierced person,6.9251982779762425e-06,0.0010211572520881671,1.3697457823251007e-07,3.5698891231372755e-07,8.355633964477957e-05,0.01844011090863379,0.006967188374306283,0.028716890480753564,0.01844011090863379,0.5020900570662038,0.00028490107154336683,0.003039444223280197,2.0781732280409385e-06,2.3181973422960632e-05,0.00020046803046004028,0.00415922194084054,1.0672000455768038e-05,5.286173294268199e-41,7.812398745425111e-08,0.011531241418909537,8.775475770626234e-06,1.0672000455768038e-05,0.866777028034381,0.028716890480753564,0.5020900570662038,1.049871474480359e-08,0.801505894284466,1.067399222931933e-14,,0.356525002428394,4.12043343351747e-11,4.721634005528932e-12,2.1253057273676278e-10,0.03596494337249495,1.5481030728724052e-05,1.0672000455768038e-05,3.681820657217784e-09,0.801505894284466,0.043566162351572416,1.5481030728724052e-05
redheaded person,3.7224454435005896e-06,0.00011943251251468503,5.8532937023103884e-15,0.005011858273044697,2.12412030156621e-05,0.23479143762106605,5.708749662808797e-05,0.07545130951485171,0.034074188262375626,0.23479143762106605,8.666711192316167e-06,0.4046076138350984,2.7119637379512853e-05,5.471079857980308e-06,0.0001752493833629442,0.0006509312062326757,4.229325429249183e-05,3.854823572081867e-46,4.2541290204346737e-13,3.7224454435005896e-06,6.465306561034226e-06,0.027058753358140966,0.5536405536698916,0.7996203917554103,1.0,2.0620111000998296e-11,0.0037894984489352194,0.0006509312062326757,8.726954032431254e-05,,7.164514843551065e-11,9.135538049329205e-08,3.2893805107111264e-12,0.6108761366040582,6.226048825030559e-07,8.726954032431254e-05,0.0006509312062326757,0.2712771195266488,0.17440441259143083,0.002892466524359447
short haired person,0.0006025963249889368,0.004216423578480896,6.716620513775156e-13,0.15424839407456048,0.022917872213760133,0.7758194557799727,0.12853259342165493,0.10638353143334833,8.573596752841369e-05,0.002270922348441672,0.0011866434922606917,0.11033268728456772,0.0002866074680822775,0.001624556444880279,0.0001292113517501546,0.0002866074680822775,6.378237176499874e-06,1.685691492007923e-15,6.378237176499874e-06,0.013209600087856987,2.1696275264037152e-10,0.02225587135094599,0.7758194557799727,0.5063200166680766,0.29621566297370483,2.3676547263993037e-06,0.255326942390438,0.0001292113517501546,0.010315425923954818,0.001624556444880279,,4.876383657288574e-07,0.448806971372244,0.255326942390438,1.0658771030990614e-07,0.010315425923954818,0.0031188896328178603,0.1287563208447006,0.29621566297370483,0.004216423578480896
short person,0.00015249652254148644,0.3858070025499372,1.6603031913486754e-16,0.03323150589812244,0.34425040390706174,0.00015249652254148644,0.011440477124174293,0.03323150589812244,0.6298903678919249,0.08166993505342679,0.08166993505342679,0.28002018212315605,2.0833459772807676e-07,0.5626322367018963,2.7157588590708068e-05,0.004887971277978525,0.0009670111459713789,1.2298522955868882e-13,0.0019457999616256682,0.001340251221076416,0.00020785415400881082,0.008863171394607263,0.9232180464232984,0.008863171394607263,0.4400218773461956,6.642931658059966e-05,0.5626322367018963,0.0019457999616256682,0.008863171394607263,0.10174285849465736,1.6603031913486754e-16,,0.6995947049211001,1.0,4.121323122308029e-06,1.174216220322739e-08,9.381015568223613e-07,0.06701691664412528,0.6298903678919249,1.551309748358034e-06
spiky haired person,0.0033166596640157066,0.01051773377073344,1.4311208178767927e-14,1.0,0.06212864564376905,0.34542708115490084,0.08774252524264378,0.29914587732550546,0.0593880402834351,0.5713286842297491,0.7058826713002413,0.011238911987531436,0.002373850547237528,2.4070939448869058e-08,0.03805402860393353,0.0009149807949893312,0.013930893227156143,7.490256809165241e-15,2.4070939448869058e-08,0.0033166596640157066,0.00027630865361088347,0.00044223668224381964,0.5091556314057079,0.29914587732550546,0.15637748670552104,0.002373850547237528,0.03805402860393353,9.26068334410497e-05,0.013930893227156143,0.0002059641513230802,1.4784431981542447e-40,4.661199360822995e-40,,0.7773459358158532,7.03563779702903e-06,4.347553450278466e-06,1.1271275984932195e-05,0.15637748670552104,0.5091556314057079,0.01786978559337256
